AverageSalary,Job,Organization,Data
107544,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,שירותי בריאות כללית,מנהל מחלקות בתי חולים 
79645,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,שירותי בריאות  כללית,מנהל כללי 
77406,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,קופת-חולים "מאוחדת",סמנכ"ל
73851,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,מכבי שירותי בריאות,מנהל אגף
73516,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,מכבי שירותי בריאות,מנהל כללי
70507,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,קופת-חולים "מאוחדת",מנהל אגף
65104,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,שירותי בריאות  כללית,מנהל מחלקות בתי חולים
62849,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,שירותי בריאות  כללית,מנהל מחלקות בתי חולים
61112,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,אוניברסיטת תל-אביב,סגל אקדמי
60422,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,קופת-חולים "מאוחדת",מבקר פנימי
59341,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,בצלאל-אקדמיה לאומנות ועיצוב ירושלים,מנהל כללי 
57477,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,שירותי בריאות  כללית,יו"ר דירקטוריון 
57114,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,שירותי בריאות  כללית,ראש חטיבת בתי חולים
57006,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,שירותי בריאות  כללית,מנהל מחלקות בתי חולים 	
56875,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,הטכניון -מכון טכנולוגי לישראל,נשיא אקדמי
55711,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,שירותי בריאות  כללית,מנהל בתי חולים 
54786,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,איגוד ערים לכבאות - חיפה,מפקד תחנת משנה
54165,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,התעשיה האוירית לישראל בע"מ,מנהל ראשי
54162,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,האוניברסיטה העברית בי-ם,מרצה בכיר
54120,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,חברת החשמל לישראל בע"מ,מנהל כללי 
