AverageSalary,Data,Organization,Job
85508,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,שירותי בריאות כללית,מנהל מחלקות בתי חולים
84998,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,קופת-חולים "מאוחדת",מנהל כללי
79694,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,קופת-חולים "מאוחדת",משנה למנכ"ל
76919,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,מכבי שירותי בריאות,מנהל כללי
73044,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,קופת-חולים "מאוחדת",מנהל אגף
71322,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,בנק ישראל,סגן מנהל מחלקה
70282,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,בנק ישראל,מנהל מדור בכיר
67301,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,קופת-חולים "מאוחדת",מבקר פנימי
66200,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,בנק ישראל,מנהל יחידה
64223,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,קופת-חולים "מאוחדת",מנהל כספים
64175,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,חברת נמל חיפה,נתב
63670,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,מכבי שירותי בריאות,מנהל אגף
63465,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,שירותי בריאות כללית,מנהל מחלקות בתי חולים
62550,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,בנק ישראל,מנהל מדור
62490,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,בנק ישראל,מנהל יחידה
62093,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,בנק ישראל,חבר הנהלה
61332,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,חברת נמל חיפה,נתב
61324,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,בנק ישראל,מנהל יחידה
60987,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,בנק ישראל,מנהל יחידה
60413,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,בנק ישראל,יועץ לנגיד
